,Obtained,Name,Source
39,,Lightningbone Bolt,Crafted with Ancient Dragon Apostle's Cookbook [1]
40,,Lordsworn's Bolt,"On ground: Bridge of SacrificeCastle MorneLimgraveWeeping PeninsulaStormgate Enemy drop: Exile Soldier (Chance), Mausoleum Soldier (Chance),"
41,,Magicbone Arrow,Crafted with Glintstone Craftsman's Cookbook [5]
42,,Magicbone Arrow (Fletched),Crafted with Glintstone Craftsman's Cookbook [5]
43,,Magicbone Bolt,Crafted with Glintstone Craftsman's Cookbook [5]
44,,Meteor Bolt,Buy from merchant: Isolated Merchant Raya Lucaria
45,,Perfumer's Bolt,"Enemy drop: Page (Chance),"
46,,Piquebone Arrow,
47,,Piquebone Arrow (Fletched),
48,,Piquebone Bolt,
49,,Poisonbone Arrow,Crafted with Nomadic Warrior's Cookbook [3]
50,,Poisonbone Arrow (Fletched),Crafted with Nomadic Warrior's Cookbook [3]
51,,Poisonbone Bolt,Crafted with Nomadic Warrior's Cookbook [3]
52,,Rabbath's Greatbolt,
53,,Radahn's Spear,Buy from merchant: Enia
54,,Rainbow Stone Arrow,Crafted with Nomadic Warrior's Cookbook [7]
55,,Rainbow Stone Arrow (Fletched),Crafted with Ruin Fragment
56,,Rotbone Arrow,Crafted with Nomadic Warrior's Cookbook [15]
57,,Rotbone Arrow (Fletched),Crafted with Nomadic Warrior's Cookbook [15]
58,,Rotbone Bolt,Crafted with Nomadic Warrior's Cookbook [15]
59,,Serpent Arrow,On ground: Stillwater Cave Buy from merchant: Isolated Merchant Dragonbarrow
60,,Shattershard Arrow,Crafted with Nomadic Warrior's Cookbook [11]
61,,Shattershard Arrow (Fletched),Crafted with Cracked Crystal
62,,Sleepbone Arrow,Crafted with Fevor's Cookbook [2]
63,,Sleepbone Arrow (Fletched),Crafted with Fevor's Cookbook [2]
64,,Sleepbone Bolt,Crafted with Fevor's Cookbook [2]
65,,Spiritflame Arrow,"Enemy drop: Fallen Hawks Soldier (Chance),"
66,,St. Trina's Arrow,"On ground: Stormveil Castle Buy from merchant: Nomadic Merchant East LimgraveIsolated Merchant Raya Lucaria Enemy drop: Albinauric Wolfback Archer (Chance),"
67,,Stormwing Bone Arrow,Crafted with Nomadic Warrior's Cookbook [10]
0,,Abandoned Merchant's Bell Bearing,Buy from merchant: Abandoned Merchant Siofra River
1,,Bernahl's Bell Bearing,Buy from merchant: Knight Bernahl Quest: Knight Bernahl
2,,Blackguard's Bell Bearing,Quest: Blackguard Big Boggart
3,,Bone Peddler's Bell Bearing,"Enemy drop: Bell Bearing Hunter in Warmaster's Shack,"
4,,Corhyn's Bell Bearing,Buy from merchant: Brother Corhyn Quest: Brother Corhyn
5,,D's Bell Bearing,"Buy from merchant: D Hunter of the Dead Quest: D, Hunter of the Dead"
6,,Ghost-Glovewort Picker's Bell Bearing [1],"On ground: Nokron, Eternal City"
7,,Ghost-Glovewort Picker's Bell Bearing [2],"On ground: Nokstella, Eternal City"
8,,Ghost-Glovewort Picker's Bell Bearing [3],"On ground: Elphael, Brace of the Haligtree"
9,,Glovewort Picker's Bell Bearing [1],"Enemy drop: Erdtree Burial Watchdog in Wyndham Catacombs,"
10,,Glovewort Picker's Bell Bearing [2],"Enemy drop: Ulcerated Tree Spirit in Giants' Mountaintop Catacombs,"
11,,Glovewort Picker's Bell Bearing [3],On ground: Crumbling Farum Azula
12,,Gostoc's Bell Bearing,Buy from merchant: Gatekeeper Gostoc
13,,Gowry's Bell Bearing,Buy from merchant: Gowry Quest: Millicent
14,,Gravity Stone Peddler's Bell Bearing,"Enemy drop: Bell Bearing Hunter in Isolated Merchant's Shack (Dragonbarrow),"
15,,Greasemonger's Bell Bearing,
16,,Herbalist's Bell Bearing,
17,,Hermit Merchant's Bell Bearing [1],Buy from merchant: Hermit Merchant (Leyndell)
18,,Hermit Merchant's Bell Bearing [2],Buy from merchant: Hermit Merchant Mountaintops East
19,,Hermit Merchant's Bell Bearing [3],Buy from merchant: Hermit Merchant Ainsel River
20,,Igon's Bell Bearing,
21,,Iji's Bell Bearing,Buy from merchant: War Counselor Iji
22,,Imprisoned Merchant's Bell Bearing,Buy from merchant: Nomadic Merchant Mohgwyn Palace
23,,Isolated Merchant's Bell Bearing [1],Buy from merchant: Isolated Merchant Weeping Peninsula
24,,Isolated Merchant's Bell Bearing [2],Buy from merchant: Isolated Merchant Raya Lucaria
25,,Isolated Merchant's Bell Bearing [3],Buy from merchant: Isolated Merchant Dragonbarrow
26,,Kalé's Bell Bearing,Buy from merchant: Merchant Kalé
27,,Meat Peddler's Bell Bearing,"Enemy drop: Bell Bearing Hunter in Church of Vows,"
28,,Medicine Peddler's Bell Bearing,"Enemy drop: Bell Bearing Hunter in Hermit Merchant's Shack,"
29,,Miriel's Bell Bearing,Buy from merchant: Miriel Pastor of Vows
30,,Moldmonger's Bell Bearing,
31,,Moore's Bell Bearing,
32,,Mushroom-Seller's Bell Bearing [1],
33,,Mushroom-Seller's Bell Bearing [2],
34,,Nomadic Merchant's Bell Bearing [10],Buy from merchant: Nomadic Merchant Caelid South
35,,Nomadic Merchant's Bell Bearing [1],Buy from merchant: Nomadic Merchant North Limgrave
36,,Nomadic Merchant's Bell Bearing [2],Buy from merchant: Nomadic Merchant East Limgrave
37,,Nomadic Merchant's Bell Bearing [3],Buy from merchant: Nomadic Merchant West Limgrave
38,,Nomadic Merchant's Bell Bearing [4],Buy from merchant: Nomadic Merchant Castle Morne Rampart
39,,Nomadic Merchant's Bell Bearing [5],Buy from merchant: Nomadic Merchant Liurnia of the Lakes
40,,Nomadic Merchant's Bell Bearing [6],Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
41,,Nomadic Merchant's Bell Bearing [7],Buy from merchant: Nomadic Merchant West Altus Plateau
42,,Nomadic Merchant's Bell Bearing [8],Buy from merchant: Nomadic Merchant Mt. Gelmir
43,,Nomadic Merchant's Bell Bearing [9],Buy from merchant: Nomadic Merchant Caelid Highway North
44,,Patches' Bell Bearing,"Quest: Patches Enemy drop: Patches in The Shaded Castle,"
45,,Pidia's Bell Bearing,"Buy from merchant: Pidia, Carian Servant"
46,,Rogier's Bell Bearing,Quest: Sorcerer Rogier
47,,Sellen's Bell Bearing,Buy from merchant: Sorceress Sellen Quest: Sorceress Sellen
48,,Seluvis's Bell Bearing,Quest: Preceptor Seluvis
49,,Smithing-Stone Miner's Bell Bearing [1],"Enemy drop: Crystalians in Raya Lucaria Crystal Tunnel,"
50,,Smithing-Stone Miner's Bell Bearing [2],On ground: Sealed Tunnel
51,,Smithing-Stone Miner's Bell Bearing [3],On ground: Zamor Ruins
52,,Smithing-Stone Miner's Bell Bearing [4],"Enemy drop: Godskin Duo ,"
53,,Somberstone Miner's Bell Bearing [1],"Enemy drop: Fallingstar Beast in Sellia Crystal Tunnel,"
54,,Somberstone Miner's Bell Bearing [2],"Enemy drop: Crystalians in Altus Tunnel,"
55,,Somberstone Miner's Bell Bearing [3],On ground: First Church of Marika
56,,Somberstone Miner's Bell Bearing [4],On ground: Crumbling Farum Azula
57,,Somberstone Miner's Bell Bearing [5],On ground: Crumbling Farum Azula
58,,Spellmachinist's Bell Bearing,
59,,String-Seller's Bell Bearing,
60,,Thops's Bell Bearing,Buy from merchant: Thops Quest: Thops
61,,Ymir's Bell Bearing,
0,,About Adding Affinities,Obtained when receiving an Ash of War for the first time.
1,,About Adding Skills,Obtained when receiving an Ash of War for the first time.
2,,About Birdseye Telescopes,Obtained by using a Birdseye Telescope for the first time.
3,,About Bows,On ground: Cave of Knowledge
4,,About Combat With Spirit Ashes,
5,,About Competitive Multiplayer,Obtained when picking up Small Red Effigy and Duelist's Furled Finger.
6,,About Containers,Obtained when purchasing Crafting Kit.
7,,About Cooperative Multiplayer,Obtained when picking up Finger Severer and Tarnished Furled Finger.
8,,About Crouching,On ground: Cave of Knowledge
9,,About Death,Obtained by reviving after dying for the first time.
10,,About Dodging,On ground: Cave of Knowledge
11,,About Duels,
12,,About Fast Travel to Sites of Grace,On ground: Church of Elleh
13,,About Flask of Wondrous Physick,On ground: Third Church of Marika
14,,About Great Runes,Obtained by receiving a Great Rune for the first time.
15,,About Guard Counters,On ground: Cave of Knowledge
16,,About Guarding,On ground: Cave of Knowledge
17,,About Guidance of Grace,Obtained by resting at a site of grace with guidance for the first time.
18,,About Horseback Riding,Obtained when receiving Spectral Steed Whistle.
19,,About Hunter Multiplayer,On ground: Roundtable Hold
20,,About Invasion Multiplayer,Automatically obtained after concept introduced.
21,,About Item Crafting,Obtained when purchasing Crafting Kit.
22,,About Materials,Obtained when receiving a crafting material for the first time.
23,,About New Inventory Features,
24,,About Pouches,Obtained when receiving Spectral Steed Whistle.
25,,About Requesting Heal from Hunters,On ground: Roundtable Hold
26,,About Roundtable Hold,On ground: Roundtable Hold
27,,About Sites of Grace,On ground: Cave of Knowledge
28,,About Skills,On ground: Cave of Knowledge
29,,About Sorceries and Incantations,On ground: Cave of Knowledge
30,,About Spiritspring Jumping,Obtained by encountering a spiritspring for the first time.
31,,About Stakes of Marika,On ground: Cave of Knowledge
32,,About Stance-Breaking,On ground: Cave of Knowledge
33,,About Strengthening Armaments,On ground: Church of Elleh
34,,About Summoning Other Players,Obtained when receiving a Furlcalling Finger Remedy for the first time.
35,,About Summoning Pools,Obtained when picking up Small Golden Effigy
36,,About Summoning Spirits,Obtained by receiving a summon spirit for the first time.
37,,About Teardrop Scarabs,Obtained by killing a red or blue Teardrop Scarab for the first time.
38,,About Vanquishing Enemy Groups,Obtained by defeating a enemy group for the first time.
39,,About Wielding Armaments,On ground: Cave of Knowledge
40,,About the Cave of Knowledge,On ground: Cave of Knowledge
41,,About the Map,Obtained by walking from First Step Site of Grace towards White Mask Varre.
42,,About the Revered Spirit Ash Blessing,
43,,About the Scadutree Blessing,
44,,Castle Cross Message,
45,,Champion's Song Painting,On ground: The Shaded Castle
46,,Domain of Dragons Painting,
47,,Flightless Bird Painting,On ground: Leyndell Royal Capital
48,,Furnace Keeper's Note,
49,,Homing Instinct Painting,On ground: Artist's Shack (Limgrave)
50,,Incursion Painting,
51,,Knifeprint Clue,Quest: Fia
52,,Letter for Freyja,
53,,Letter from Volcano Manor,Quest: Volcano Manor
54,,Meeting Place Map,On ground: Raya Lucaria Academy
55,,Message from Dane,
56,,Message from Leda,
57,,Message from Leda [1],
58,,Monk's Missive,
59,,Note (Land Squirts),Buy from merchant: Nomadic Merchant West Limgrave
60,,Note (Stonedigger Trolls),Buy from merchant: Nomadic Merchant West Limgrave
61,,Note: Below the Capital,Buy from merchant: Hermit Merchant (Leyndell)
62,,Note: Demi-human Mobs,Buy from merchant: Nomadic Merchant Castle Morne Rampart
63,,Note: Flame Chariots,Buy from merchant: Nomadic Merchant North Limgrave
64,,Note: Flask of Wondrous Physick,Buy from merchant: Merchant Kalé
65,,Note: Frenzied Flame Village,Buy from merchant: Isolated Merchant Raya Lucaria
66,,Note: Gateway,Buy from merchant: Isolated Merchant Dragonbarrow
67,,Note: Gravity's Advantage,Buy from merchant: Nomadic Merchant Caelid South
68,,Note: Hidden Cave,Buy from merchant: Isolated Merchant Dragonbarrow
69,,Note: Imp Shades,Buy from merchant: Nomadic Merchant West Altus Plateau
70,,Note: Miquella's Needle,On ground: Cathedral of the Forsaken
71,,Note: Revenants,Buy from merchant: Isolated Merchant Raya Lucaria
72,,Note: Sealed Spiritsprings,
73,,Note: Sealed Spiritsprings [2],
74,,Note: The Lord of Frenzied Flame,On ground: Frenzied Flame Village
75,,Note: The Preceptor's Secret,Buy from merchant: Isolated Merchant Raya Lucaria
76,,Note: Unseen Assassins,Buy from merchant: Nomadic Merchant West Altus Plateau
77,,Note: Wandering Mausoleum,Buy from merchant: Isolated Merchant Weeping Peninsula
78,,Note: Waypoint Ruins,Buy from merchant: Merchant Kalé
79,,Prophecy Painting,On ground: Stormveil Castle
80,,Red Letter,Quest: Volcano Manor
81,,Redmane Painting,"On ground: Sellia, Town of Sorcery"
82,,Resurrection Painting,On ground: Artist's Shack (Liurnia of the Lakes)
83,,Rogier's Letter,Quest: Sorcerer Rogier
84,,Secret Rite Scroll,
85,,Sellia's Secret,On ground: Gowry's Shack Quest: Millicent
86,,Sorcerer Painting,On ground: Castle Sol
87,,Storehouse Cross Message,
88,,The Sacred Tower Painting,
89,,Torn Diary Page,
90,,Tower of Shadow Message,
91,,Weathered Map,"Buy from merchant: Pidia, Carian Servant"
92,,Zorayas' Letter,Quest: Rya
0,,Point Forwards,Automatically obtained
1,,Point Upwards,Automatically obtained
2,,Point Downwards,Automatically obtained
3,,Wait!,Automatically obtained
4,,Calm Down!,Quest: Patches
5,,Wave,Automatically obtained
6,,Beckon,Automatically obtained
7,,Casual Greeting,On ground: Redmane CastleRuin-Strewn Precipice
8,,Warm Welcome,Automatically obtained
9,,Bravo!,Quest: White Mask Varre
10,,Strength!,On ground: Stranded Graveyard
11,,Jump for Joy,Automatically obtained
12,,Triumphant Delight,Quest: Iron Fist Alexander
13,,Fancy Spin,On ground: Stargazer's Ruins
14,,Nod In Thought,Buy from merchant: Sorceress Sellen Quest: Sorceress Sellen
15,,Finger Snap,Buy from merchant: Merchant Kalé
16,,Rallying Cry,Automatically obtained
17,,Heartening Cry,On ground: Redmane Castle
18,,Bow,Automatically obtained
19,,Polite Bow,On ground: Redmane Castle
20,,As You Wish,Quest: Hyetta
21,,My Thanks,On ground: Volcano Manor
22,,Curtsy,Quest: Roderika
23,,Reverential Bow,On ground: Roundtable Hold
24,,My Lord,Quest: Boc the Seamster
25,,What Do You Want?,On ground: Roundtable Hold
26,,By My Sword,On ground: Leyndell Royal Capital
27,,Hoslow's Oath,"Quest: Volcano Manor Enemy drop: Juno Hoslow, Knight of Blood ,"
28,,Fire Spur Me,On ground: Church of Vows
29,,Erudition,Quest: Thops
30,,Prayer,Quest: Brother Corhyn
31,,Desperate Prayer,Buy from merchant: Gowry
32,,Rapture,On ground: Roundtable Hold
33,,Inner Order,On ground: Siofra Aqueduct
34,,Outer Order,On ground: Minor Erdtree Church
35,,Golden Order Totality,Quest: Brother Corhyn
36,,Extreme Repentance,Quest: Patches
37,,Grovel for Mercy,"Quest: Patches Enemy drop: Patches in Murkwater Cave,"
38,,Crossed Legs,On ground: Stormhill Shack
39,,Dozing Cross-Legged,On ground: Stormveil Castle
40,,Rest,Automatically obtained
41,,Sitting Sideways,Quest: Roderika
42,,Dejection,Automatically obtained
43,,Patches' Crouch,Quest: Patches
44,,Balled Up,On ground: Raya Lucaria Academy
45,,Spread Out,Quest: Blackguard Big Boggart
46,,The Ring,Automatically obtained if preordered the game
47,,Ring of Miquella,Automatically obtained if preordered the Shadow of the Erdtree DLC
48,,May The Best Win,
0,,"Astel, Naturalborn of the Void",Grand Cloister Quest: Ranni
1,,Beast Clergyman,Crumbling Farum Azula
2,,Dragonlord Placidusax,Crumbling Farum Azula
3,,Elden Beast,"Leyndell, Capital of Ash"
4,,Fire Giant,Flame Peak
5,,"Godfrey, First Elden Lord","Leyndell, Capital of Ash"
6,,Godrick the Grafted,Stormveil Castle
7,,Lichdragon Fortissax,Deeproot Depths Quest: Fia
8,,"Malenia, Blade of Miquella","Elphael, Brace of the Haligtree"
9,,"Maliketh, the Black Blade",Crumbling Farum Azula
10,,"Mohg, The Omen",Cathedral of the Forsaken
11,,"Morgott, the Omen King",Leyndell Royal Capital
12,,Radagon of the Golden Order,"Leyndell, Capital of Ash"
13,,Regal Ancestor Spirit,Hallowhorn Grounds
14,,"Rennala, Queen of the Full Moon",Raya Lucaria Academy
15,,"Rykard, Lord of Blasphemy",Volcano Manor
16,,Starscourge Radahn,Redmane Castle
0,,Ancestor Spirit,Hallowhorn Grounds
1,,Borealis the Freezing Fog,First Church of Marika
2,,Cemetery Shade,Tombsward CatacombsBlack Knife CatacombsCaelid CatacombsGelmir Hero's Grave
3,,Decaying Ekzykes,Caelid
4,,Dragonkin Soldier,Siofra RiverLake of Rot
5,,Dragonkin Soldier of Nokstella,Ainsel River
6,,Flying Dragon Agheel,Dragon-Burnt Ruins
7,,Glintstone Dragon Adula,Cathedral of Manus Celes Quest: Ranni
8,,Godskin Apostle,Windmill VillageDivine Tower of Caelid
9,,Godskin Duo,Crumbling Farum Azula
10,,Godskin Noble,Divine Tower of LiurniaVolcano Manor
11,,Leonine Misbegotten,Castle Morne
12,,"Margit, the Fell Omen",Stormveil CastleAltus Plateau
13,,Red Wolf of Radagon,Raya Lucaria Academy
14,,Valiant Gargoyle,Siofra AqueductCapital Outskirts
15,,Valiant Gargoyle (Twinblade),"Nokron, Eternal City"
0,,Abductor Virgins,Volcano Manor
1,,"Adan, Thief of Fire",Malefactor's Evergaol
2,,Alabaster Lord,LimgraveLake of RotRaya Lucaria Academy
3,,"Alecto, Black Knife Ringleader",Ringleader's Evergaol
4,,Ancestral Follower (Lake of Rot),Lake of Rot
5,,Ancient Dragon Lansseax,Altus Plateau
6,,Ancient Dragon Senessax,Jagged Peak
7,,Ancient Dragon-Man,Gravesite Plain
8,,Ancient Hero of Zamor,Weeping EvergaolGiant-Conquering Hero's GraveSainted Hero's Grave
9,,"Astel, Stars of Darkness",Yelough Anix Tunnel
10,,Battlemage Hugues,Sellia Evergaol
11,,Bayle The Dread,Jagged Peak
12,,Beastman of Farum Azula,Groveside CaveDragonbarrow Cave
13,,Bell Bearing Hunter,Warmaster's ShackChurch of VowsHermit Merchant's ShackIsolated Merchant's Shack (Dragonbarrow)
14,,Black Blade Kindred,Bestial SanctumForbidden Lands
15,,Black Knife Assassin,Deathtouched CatacombsBlack Knife CatacombsSage's CaveSainted Hero's Grave
16,,Black Knight Edreed,Scadu Altus
17,,Black Knight Garrew,Scadu Altus
18,,Blackgaol Knight,Gravesite Plain
19,,Bloodhound Knight (Boss),Lakeside Crystal Cave
20,,Bloodhound Knight (Gelmir Hero's Grave),Gelmir Hero's Grave
21,,Bloodhound Knight Darriwil,Forlorn Hound Evergaol
22,,"Bols, Carian Knight",Cuckoo's Evergaol
23,,Chariot,Fringefolk Hero's GraveAuriza Hero's GraveGelmir Hero's Grave
24,,Chief Bloodfiend,Gravesite Plain
25,,Chief Guardian Arghanthy,Guardians' Garrison
26,,Cleanrot Knight,Stillwater CaveAbandoned Cave
27,,Commander Gaius,Scadu Altus
28,,Commander Niall,Castle Sol
29,,Commander O'Neil,Swamp of Aeonia
30,,"Count Ymir, Mother of Fingers",Scadu Altus
31,,Crucible Knight Ordovis,Auriza Hero's Grave
32,,Crucible Knight Siluria,Deeproot Depths
33,,Crystalians,Academy Crystal CaveAltus TunnelRaya Lucaria Crystal TunnelSellia Hideaway
34,,Curseblade Labirith,Scadu Altus
35,,Dancer of Ranah,Cerulean Coast
36,,Death Knight,Scadu AltusAncient Ruins of Rauh
37,,Death Rite Bird,Stargazer's RuinsCaelidLiurnia of the LakesApostate Derelict
38,,Deathbird,Warmaster's ShackCastle MorneLiurnia of the LakesCapital Outskirts
39,,Demi-Human Chief,Coastal CaveHermit VillageMinor Erdtree (Weeping Peninsula)
40,,Demi-Human Queen,Demi-Human Forest Ruins
41,,Demi-Human Queen Gilika,Lux Ruins
42,,Demi-Human Queen Maggie,Hermit Village
43,,Demi-Human Queen Margot,Volcano Cave
44,,Demi-Human Queen Marigga,Cerulean Coast
45,,Demi-Human Swordmaster Onze,Gravesite Plain
46,,Divine Beast Dancing Lion,Gravesite PlainAncient Ruins of Rauh
47,,Divine Bridge Golem,Leyndell Royal Capital
48,,Draconic Tree Sentinel,Capital OutskirtsCrumbling Farum Azula
49,,Dryleaf Dane,Scadu Altus
50,,Elder Dragon Greyoll,Fort Faroth
51,,Elemer of the Briar,The Shaded Castle
52,,Erdtree Avatar,Minor Erdtree (Weeping Peninsula)Minor Erdtree (Liurnia Southwest)Minor Erdtree (Liurnia Northeast)Minor Erdtree (Caelid)Minor Erdtree (Mountaintops East)Deeproot DepthsLeyndell Royal Capital
53,,Erdtree Burial Watchdog,Stormfoot CatacombsImpaler's CatacombsCliffbottom CatacombsWyndham CatacombsMinor Erdtree Catacombs
54,,Errant Sorcerer Wilhelm,Leyndell Royal Capital
55,,"Esgar, Priest of Blood",Leyndell Catacombs
56,,Fallingstar Beast,Sellia Crystal TunnelAltus Plateau
57,,Fell Twins,Capital Outskirts
58,,Fia's Champions,Deeproot Depths
59,,Flying Dragon Greyll,Dragonbarrow
60,,Frenzied Duelist (Boss),Gaol Cave
61,,Full-Grown Fallingstar Beast,Mt Gelmir
62,,Ghostflame Dragon,Gravesite PlainScadu Altus
63,,Glintstone Dragon Smarag,Liurnia of the Lakes
64,,God-Devouring Serpent,Volcano Manor
65,,Godefroy The Grafted,Golden Lineage Evergaol
66,,"Godfrey, First Elden Lord (Golden Shade)",Leyndell Royal Capital
67,,Godrick Knight (Fort Haight),Fort Haight
68,,Golden Hippopotamus,Scadu Altus
69,,Grafted Scion,Chapel of AnticipationFringefolk Hero's GraveLiurnia of the LakesStormveil CastleMt Gelmir
70,,Grave Warden Duelist,Murkwater CatacombsAuriza Side Tomb
71,,Great Wyrm Theodorix,Albinauric Rise
72,,Guardian Golem,Highroad Cave
73,,Jagged Peak Drake,Jagged Peak
74,,"Juno Hoslow, Knight of Blood",Shack of the Lofty Quest: Volcano Manor
75,,Kindred of Rot,Seethewater Cave
76,,Lamenter,Gravesite Plain
77,,Lesser Crucible Knight,Stormhill EvergaolStormveil CastleRedmane CastleVolcano ManorSiofra Aqueduct
78,,Leyndell Knight (Artist's Shack),Artist's Shack (Liurnia of the Lakes)
79,,Lion Guardian,Stormveil CastleFort GaelRedmane CastleCastle Sol
80,,"Loretta, Knight of the Haligtree",Miquella's Haligtree
81,,Mad Pumpkin Head,Caelem RuinsWaypoint Ruins
82,,Magma Wyrm,Gael TunnelFort Laiedd
83,,Magma Wyrm Makar,Ruin-Strewn Precipice
84,,Messmer the Impaler + Base Serpent Messmer,Scadu Altus
85,,"Metyr, Mother of Fingers",Scadu Altus
86,,Midra Lord of Frenzied Flame,Abyssal Woods
87,,Mimic Tear,"Nokron, Eternal CityHidden Path to the Haligtree"
88,,Miranda the Blighted Bloom,Tombsward CavePerfumer's Grotto
89,,Misbegotten Crusader,Cave of the Forlorn
90,,Misbegotten Warrior,Unsightly CatacombsRedmane Castle
91,,"Mohg, Lord of Blood",Mohgwyn Palace
92,,Mounted Knight (Near Deathtouched Catacombs),Deathtouched Catacombs
93,,Necromancer Garris,Sage's Cave
94,,Night's Cavalry,LimgraveCastle MorneBellum ChurchLiurnia of the LakesCaelidAltus PlateauForbidden LandsLenne's RiseConsecrated Snowfield
95,,Nox Swordstress & Nox Priest,"Sellia, Town of SorceryCaelid"
96,,Old Knight Istvan,Stormhill Quest: Volcano Manor
97,,Omen (Subterranean Shunning-Grounds),Subterranean Shunning-Grounds
98,,Omenkiller,Village of the AlbinauricsPerfumer's GrottoVolcano ManorPerfumer's RuinsLeyndell Royal Capital
99,,Onyx Lord,Sealed TunnelRoyal Grave Evergaol
100,,Patches,Murkwater CaveThe Shaded Castle
101,,Perfumer Tricia,Unsightly Catacombs
102,,Prelate (Fort Laiedd),Fort Laiedd
103,,Promised Consort Radahn + Radahn Consort of Miquella,Enir-Ilim
104,,Putrescent Knight,Stone Coffin Fissure
105,,Putrid Avatar,Minor Erdtree (Consecrated Snowfield)Dragonbarrow Cave
106,,Putrid Grave Warden Duelist,Consecrated Snowfield Catacombs
107,,Putrid Tree Spirit,War-Dead Catacombs
108,,Ralva the Great Red Bear,Scadu Altus
109,,Red Bear,Gravesite Plain
110,,Red Wolf of the Champion,Gelmir Hero's Grave
111,,Rellana Twin Moon Knight,Gravesite Plain
112,,Rileigh the Idle,Altus Plateau Quest: Volcano Manor
113,,Romina Saint of the Bud,Ancient Ruins of Rauh
114,,Rotten Duelist (Consecrated Snowfield Catacombs),Consecrated Snowfield Catacombs
115,,Rotten Duelist (Consecrated Snowfield),Consecrated Snowfield
116,,"Rotten Duelist (Ordina, Liturgical Town)",Consecrated Snowfield
117,,Roundtable Knight Vyke,Lord Contender's Evergaol
118,,Royal Knight Loretta,Caria Manor
119,,Royal Revenant,Kingsrealm Ruins
120,,Runebear,Earthbore CaveDeeproot Depths
121,,Sanguine Noble,Rose ChurchWritheblood RuinsMohgwyn Palace
122,,Scadutree Avatar,Scaduview
123,,Scaly Misbegotten,Morne Tunnel
124,,"Sir Gideon Ofnir, the All-Knowing","Leyndell, Capital of Ash"
125,,Soldier of Godrick,Stranded Graveyard
126,,Spirit-Caller Snail,Road's End CatacombsSpiritcaller's Cave
127,,Stonedigger Troll,Limgrave TunnelsOld Altus Tunnel
128,,Thorn-Fire Sorcerer (Artist's Shack),Artist's Shack (Liurnia of the Lakes)
129,,Tibia Mariner,Summonwater VillageArtist's Shack (Liurnia of the Lakes)Wyndham RuinsMountaintops of the Giants
130,,Tree Sentinel,Church of EllehAltus Plateau
131,,Ulcerated Tree Spirit,"Fringefolk Hero's GraveStormveil CastleMinor Erdtree (Mt. Gelmir)Grand CloisterGiants' Mountaintop CatacombsElphael, Brace of the Haligtree"
132,,Valiant Gargoyle (Halberd),Leyndell Royal Capital
133,,Vargram the Raging Wolf,Leyndell Royal Capital Quest: Volcano Manor
134,,Wormface,Minor Erdtree (Altus Plateau)
0,,"Anastasia, Tarnished-Eater",LimgraveSmoldering ChurchCorpse-Stench ShackOrdina Liturgical Town
1,,Bloody Finger Nerijus,Murkwater Catacombs
2,,Bloody Finger Okina,Flame Peak
3,,Dung Eater,Leyndell Royal Capital
4,,Edgar The Revenger,Revenger's Shack Quest: Edgar
5,,"Eleonora, Violet Bloody Finger",Second Church of Marika
6,,Ensha,Roundtable Hold
7,,Festering Fingerprint Vyke,Church of Inhibition
8,,Inquisitor Ghiza,Volcano Manor
9,,Mad Tongue Alberich,Roundtable Hold
10,,Magnus the Beast Claw,Writheblood Ruins
11,,"Maleigh Marais, Shaded Castle Castellan",The Shaded Castle
12,,Millicent,Swamp of Aeonia
13,,"Moongrum, Carian Knight",Raya Lucaria Academy
14,,Nameless White Mask,Mohgwyn Palace
15,,Preceptor Miriam,Carian Study HallCarian Study Hall (Inverted)
16,,Recusant Bernahl,Crumbling Farum Azula Quest: Knight Bernahl
17,,Recusant Henricus,Stormhill Shack
18,,Sanguine Noble (NPC),Consecrated Snowfield
0,,Abnormal Stone Cluster,LimgraveCaelidDeep Siofra Well
1,,Arcane Sphere of Faces,Witchbane RuinsLenne's RiseConverted Fringe Tower
2,,Basilisk,Ainsel RiverLake of RotAuriza Hero's GraveDeeproot DepthsThe Shaded CastleSubterranean Shunning-Grounds
3,,Bear,MistwoodAltus Plateau
4,,Bladed Talon Eagle,Stormveil CastleCrumbling Farum Azula
5,,Boar,LimgraveStormhillSiofra River
6,,Burning Slug,Liurnia of the LakesVolcano Manor
7,,Crab,Black Knife CatacombsCoastal CaveLimgrave
8,,Crystal Snail,Altus TunnelConsecrated SnowfieldLakeside Crystal Cave
9,,Deer,LimgraveLiurnia of the LakesSiofra River
10,,Direwolf,Caria ManorLiurnia of the LakesConsecrated Snowfield
11,,Dog,Dragon-Burnt Ruins
12,,Eagle,LimgraveStormhill
13,,Farum Azula Dragon,Crumbling Farum Azula
14,,Giant Ant,Ainsel River
15,,Giant Ant (Queen),Ainsel RiverDeeproot Depths
16,,Giant Bat,LimgraveCaelid
17,,Giant Crab,LimgraveLiurnia of the LakesWyndham CatacombsBlack Knife CatacombsSiofra River
18,,Giant Crayfish,Liurnia of the LakesSubterranean Shunning-Grounds
19,,Giant Crow,Forsaken RuinsMountaintops of the GiantsMohgwyn Palace
20,,Giant Dog,Gowry's ShackDragonbarrowMountaintops of the Giants
21,,Giant Dragonfly,Limgrave
22,,Giant Land Octopus,Coastal CaveSiofra RiverHidden Path to the Haligtree
